0,InSwitch,230,80,-,-,-,-,入力1,false,-,-,5,-,
1,InSwitch,370,80,-,-,-,-,入力2,false,-,-,8,-,
2,InSwitch,530,80,-,-,-,-,入力3,false,-,-,11,-,
3,OutSwitch,300,700,-,-,-,-,出力1,false,12,-,-,-,
4,OutSwitch,530,700,-,-,-,-,出力2,false,13,-,-,-,
5,Lead,-,-,230,130,230,250,-,false,0,-,6,-,
6,Lead,-,-,230,250,280,250,-,false,5,-,7,-,
7,Lead,-,-,280,250,280,380,-,false,6,-,14,-,
8,Lead,-,-,370,130,370,250,-,false,1,-,9,-,
9,Lead,-,-,370,250,320,250,-,false,8,-,10,-,
10,Lead,-,-,320,250,320,380,-,false,9,-,14,-,
11,Lead,-,-,530,130,530,380,-,false,2,-,15,-,
12,Lead,-,-,300,400,300,700,-,false,14,-,3,-,
13,Lead,-,-,530,400,530,700,-,false,15,-,4,-,
14,Question,300,400,-,-,-,-,-,false,7,10,12,-,
15,NotQuestion,530,400,-,-,-,-,-,false,11,-,13,-,
